year,month,day,oxy_deep
1981,8,3,7.960372265
1981,8,4,7.923101329
1981,8,5,7.885830394
1981,8,6,7.848559458
1981,8,7,7.811288523
1981,8,8,7.774017588
1981,8,9,7.736746652
1981,8,10,7.699475717
1981,8,11,7.662204782
1981,8,12,7.624933846
1981,8,13,7.587662911
1981,8,14,7.550391975
1981,8,15,7.51312104
1981,8,16,7.475850105
1981,8,17,7.447791396
1981,8,18,7.419732688
1981,8,19,7.39167398
1981,8,20,7.363615271
1981,8,21,7.335556563
1981,8,22,7.307497855
1981,8,23,7.279439146
1981,8,24,7.251380438
1981,8,25,7.22332173
1981,8,26,7.195263021
1981,8,27,7.167204313
1981,8,28,7.139145605
1981,8,29,7.111086896
1981,8,30,7.083028188
1981,8,31,7.12400282
1981,9,1,7.164977452
1981,9,2,7.205952084
1981,9,3,7.246926715
1981,9,4,7.287901347
1981,9,5,7.328875979
1981,9,6,7.369850611
1981,9,7,7.410825243
1981,9,8,7.451799874
1981,9,9,7.492774506
1981,9,10,7.533749138
1981,9,11,7.57472377
1981,9,12,7.615698402
1981,9,13,7.656673034
1981,9,14,7.635531492
1981,9,15,7.61438995
1981,9,16,7.593248408
1981,9,17,7.572106866
1981,9,18,7.550965324
1981,9,19,7.529823782
1981,9,20,7.50868224
1981,9,21,7.487540698
1981,9,22,7.466399156
1981,9,23,7.445257614
1981,9,24,7.424116072
1981,9,25,7.40297453
1981,9,26,7.381832988
1981,9,27,7.360691446
1981,9,28,7.339549904
1981,9,29,7.338239493
1981,9,30,7.336929081
1981,10,1,7.335618669
1981,10,2,7.334308258
1981,10,3,7.332997846
1981,10,4,7.331687434
1981,10,5,7.330377023
1981,10,6,7.329066611
1981,10,7,7.3277562
1981,10,8,7.326445788
1981,10,9,7.325135376
1981,10,10,7.323824965
1981,10,11,7.322514553
1981,10,12,7.321204141
1981,10,13,7.31989373
1981,10,14,7.318583318
1981,10,15,7.317272906
1981,10,16,7.315962495
1981,10,17,7.314652083
1981,10,18,7.313341671
1981,10,19,7.31203126
1981,10,20,7.310720848
1981,10,21,7.309410436
1981,10,22,7.308100025
1981,10,23,7.306789613
1981,10,24,7.305479201
1981,10,25,7.30416879
1981,10,26,7.302858378
1981,10,27,7.301547966
1981,10,28,7.300237555
1981,10,29,7.298927143
1981,10,30,7.297616731
1981,10,31,7.29630632
1981,11,1,7.294995908
1981,11,2,7.293685496
1981,11,3,7.292375085
1981,11,4,7.291064673
1981,11,5,7.289754261
1981,11,6,7.28844385
1981,11,7,7.287133438
1981,11,8,7.285823026
1981,11,9,7.284512615
1981,11,10,7.283202203
1981,11,11,7.281891792
1981,11,12,7.28058138
1981,11,13,7.279270968
1981,11,14,7.277960557
1981,11,15,7.276650145
1981,11,16,7.275339733
1981,11,17,7.274029322
1981,11,18,7.27271891
1981,11,19,7.271408498
1981,11,20,7.270098087
1981,11,21,7.268787675
1981,11,22,7.267477263
1981,11,23,7.266166852
1981,11,24,7.26485644
1981,11,25,7.263546028
1981,11,26,7.262235617
1981,11,27,7.260925205
1981,11,28,7.259614793
1981,11,29,7.258304382
1981,11,30,7.239771034
1981,12,1,7.221237687
1981,12,2,7.20270434
1981,12,3,7.184170993
1981,12,4,7.165637645
1981,12,5,7.147104298
1981,12,6,7.128570951
1981,12,7,7.110037604
1981,12,8,7.091504256
1981,12,9,7.072970909
1981,12,10,7.054437562
