year,month,day,oxy_deep
1981,8,3,9.426213082
1981,8,4,9.41877566
1981,8,5,9.411339364
1981,8,6,9.403904193
1981,8,7,9.396470146
1981,8,8,9.389037222
1981,8,9,9.381605419
1981,8,10,9.374174736
1981,8,11,9.366745172
1981,8,12,9.359316725
1981,8,13,9.351889394
1981,8,14,9.344463178
1981,8,15,9.337038076
1981,8,16,9.329614086
1981,8,17,9.322191207
1981,8,18,9.314769437
1981,8,19,9.307348776
1981,8,20,9.299929222
1981,8,21,9.292510774
1981,8,22,9.285093431
1981,8,23,9.277677191
1981,8,24,9.270262052
1981,8,25,9.262848015
1981,8,26,9.255435077
1981,8,27,9.248023237
1981,8,28,9.240612495
1981,8,29,9.233202848
1981,8,30,9.225794295
1981,8,31,9.218386836
1981,9,1,9.210980468
1981,9,2,9.203575191
1981,9,3,9.196171003
1981,9,4,9.188767904
1981,9,5,9.181365891
1981,9,6,9.173964965
1981,9,7,9.166565122
1981,9,8,9.159166362
1981,9,9,9.151768685
1981,9,10,9.144372088
1981,9,11,9.13697657
1981,9,12,9.129582131
1981,9,13,9.122188768
1981,9,14,9.114796481
1981,9,15,9.107405268
1981,9,16,9.100015129
1981,9,17,9.092626061
1981,9,18,9.085238064
1981,9,19,9.077851137
1981,9,20,9.070465278
1981,9,21,9.063080485
1981,9,22,9.055696759
1981,9,23,9.048314097
1981,9,24,9.040932498
1981,9,25,9.033551961
1981,9,26,9.026172486
1981,9,27,9.018794069
1981,9,28,9.011416711
1981,9,29,9.004040411
1981,9,30,8.996665166
1981,10,1,8.989290976
1981,10,2,8.981917839
1981,10,3,8.974545755
1981,10,4,8.967174722
1981,10,5,8.959804739
1981,10,6,8.952435804
1981,10,7,8.945067917
1981,10,8,8.937701076
1981,10,9,8.93033528
1981,10,10,8.922970528
1981,10,11,8.915606819
1981,10,12,8.908244151
1981,10,13,8.900882523
1981,10,14,8.893521934
1981,10,15,8.886162383
1981,10,16,8.878803868
1981,10,17,8.871446389
1981,10,18,8.864089945
1981,10,19,8.856734533
1981,10,20,8.849380153
1981,10,21,8.842026804
1981,10,22,8.834674484
1981,10,23,8.827323193
1981,10,24,8.819972928
1981,10,25,8.81262369
1981,10,26,8.805275476
1981,10,27,8.797928285
1981,10,28,8.790582118
1981,10,29,8.783236971
1981,10,30,8.775892844
1981,10,31,8.768549736
1981,11,1,8.761207646
1981,11,2,8.753866572
1981,11,3,8.746526514
1981,11,4,8.739187469
1981,11,5,8.731849438
1981,11,6,8.724512418
1981,11,7,8.717176409
1981,11,8,8.709841409
1981,11,9,8.702507418
1981,11,10,8.695174434
1981,11,11,8.687842456
1981,11,12,8.680511482
1981,11,13,8.673181513
1981,11,14,8.665852545
1981,11,15,8.658524579
1981,11,16,8.651197613
1981,11,17,8.643871647
1981,11,18,8.636546678
1981,11,19,8.629222706
1981,11,20,8.621899729
1981,11,21,8.614577747
1981,11,22,8.607256758
1981,11,23,8.599936761
1981,11,24,8.592617755
1981,11,25,8.585299739
1981,11,26,8.577982712
1981,11,27,8.570666672
1981,11,28,8.563351618
1981,11,29,8.55603755
1981,11,30,8.548724466
1981,12,1,8.541412365
1981,12,2,8.534104775
1981,12,3,8.526801729
1981,12,4,8.519503263
1981,12,5,8.512209372
1981,12,6,8.504920052
1981,12,7,8.497635336
1981,12,8,8.490355222
1981,12,9,8.48311466
1981,12,10,8.475878605
1981,12,11,8.468647054
1981,12,12,8.46142
1981,12,13,8.454197439
1981,12,14,8.446979406
1981,12,15,8.439765896
1981,12,16,8.432592856
1981,12,17,8.425424246
1981,12,18,8.418260061
1981,12,19,8.411100337
1981,12,20,8.403945069
1981,12,21,8.396794336
1981,12,22,8.389648176
1981,12,23,8.382506584
1981,12,24,8.375369556
1981,12,25,8.368237085
1981,12,26,8.361109166
1981,12,27,8.353985838
1981,12,28,8.346867142
1981,12,29,8.339753071
1981,12,30,8.33264362
1981,12,31,8.325538785
1982,1,1,8.318474626
1982,1,2,8.311414984
1982,1,3,8.304359855
1982,1,4,8.297309232
1982,1,5,8.290298952
1982,1,6,8.283560827
1982,1,7,8.276826511
1982,1,8,8.270096328
1982,1,9,8.263370412
1982,1,10,8.256694956
1982,1,11,8.250046721
1982,1,12,8.243593049
1982,1,13,8.237142857
1982,1,14,8.230696513
1982,1,15,8.224254151
1982,1,16,8.217815863
1982,1,17,8.211381694
1982,1,18,8.20495169
1982,1,19,8.198525897
1982,1,20,8.192104364
1982,1,21,8.185687139
1982,1,22,8.17927431
1982,1,23,8.172865869
1982,1,24,8.16646183
1982,1,25,8.160062186
1982,1,26,8.153666948
1982,1,27,8.147276129
1982,1,28,8.140889759
1982,1,29,8.134507831
1982,1,30,8.128130342
1982,1,31,8.121757303
1982,2,1,8.115411323
1982,2,2,8.109117461
1982,2,3,8.102827916
1982,2,4,8.096542699
1982,2,5,8.090261841
1982,2,6,8.083985375
1982,2,7,8.077713336
1982,2,8,8.071445739
1982,2,9,8.065182578
1982,2,10,8.058923849
1982,2,11,8.052669545
1982,2,12,8.046419662
1982,2,13,8.040174195
1982,2,14,8.033933137
1982,2,15,8.027696484
1982,2,16,8.021464231
1982,2,17,8.015236372
1982,2,18,8.009012944
1982,2,19,8.002793987
1982,2,20,7.996579543
1982,2,21,7.990369654
1982,2,22,7.984164367
1982,2,23,7.977963732
1982,2,24,7.971767713
1982,2,25,7.965576263
1982,2,26,7.959389329
1982,2,27,7.953206836
1982,2,28,7.947028699
1982,3,1,7.940854817
1982,3,2,7.934685079
1982,3,3,7.928517135
1982,3,4,7.922350848
1982,3,5,7.916186044
1982,3,6,7.910022503
1982,3,7,7.903859927
1982,3,8,7.897698019
1982,3,9,7.891536426
1982,3,10,7.885374731
1982,3,11,7.87921241
1982,3,12,7.873048512
1982,3,13,7.957241898
1982,3,14,8.956403568
1982,3,15,9.896002467
1982,3,16,10.46062576
1982,3,17,10.63777834
1982,3,18,10.64347159
1982,3,19,10.65158944
1982,3,20,10.66637283
1982,3,21,10.67186159
1982,3,22,10.68716371
1982,3,23,10.76919917
1982,3,24,10.85040785
1982,3,25,10.84278985
1982,3,26,10.83517319
1982,3,27,10.82755786
1982,3,28,10.81994386
1982,3,29,10.81233119
1982,3,30,10.80471985
1982,3,31,10.79710983
1982,4,1,10.78950114
1982,4,2,10.78189378
1982,4,3,10.77428774
1982,4,4,10.76668302
1982,4,5,10.75907962
1982,4,6,10.75147753
1982,4,7,10.74387677
1982,4,8,10.73627731
1982,4,9,10.72867918
1982,4,10,10.72108235
