"date","oxydeep","T_surf","T_bot","T_delta","h_mix","Ptot_lake","Ptot_epi","PO4_lake","PO4_epi","chl","wind_speed","T_air","rhone","T_surf_model","h_mix_model"
1992-03-03,2.27653588365529,6.21229876084593,5.329999924,0.882334607022914,108.5,57.4768211747674,37.9911738233511,46.654986202448,26.1775592685244,3.63371444444444,1.87666666666667,3.45,118.201933333333,5.40936666666667,113.4911544
1992-04-03,3.10392599655178,6.42172235898512,5.33748961214415,1.08631535420872,42.5,56.6925256506807,43.227766934092,47.1299035660366,22.1431466138432,5.22215168448332,2.30322580645161,6.91935483870968,111.134032258065,6.22328709677419,18
1992-05-04,3.6040613275592,9.91799984,5.349999905,4.567999935,11,52.96590673,41.99056263,42.69464218,21.5032513,8.25070501631298,2.99677419354839,10.4548387096774,118.333193548387,8.77620967741935,14
1992-06-03,3.63890126242163,17.1120653242397,5.55685149986006,11.5552190937292,13.5,46.4557978392711,21.2874494286297,34.5456678697085,9.53963636600583,2.2241472303207,1.84333333333333,16.44,243.729233333333,14.1096,13
1992-07-04,3.09502194069164,17.766890496071,5.5,12.2668806462675,13.5,47.9159228747938,18.6674127256506,39.6568508599347,4.79075851861197,7.87712153115214,2.19032258064516,16.758064516129,249.235806451613,18.3409032258064,13
1992-08-04,3.1599744728079,24.0898504126354,5.360000134,18.7249231489085,15,49.4669442521647,17.3758030805321,39.3885539536826,7.46076816721732,4.65163439929543,1.58387096774194,20.9483870967742,287.999774193548,21.5285161290323,13
1992-09-04,3.11540774081902,18.6589426587085,5.360000134,13.3004119061166,15,45.8942408883265,13.442827453898,38.4605638659154,4.21079148635131,4.18403425655977,2.08709677419355,20.8129032258065,296.499161290323,22.4331935483871,13
1992-10-04,3.16814748387927,17.4452392961122,5.37265268067954,12.0725866162433,10,45.4237446514934,14.9775449580356,35.1568796909334,5.17124371849003,4.31711690169335,1.32,15.5533333333333,175.293366666667,18.2405666666667,17
1992-11-04,3.14395213403729,11.1677574349743,5.38705519321029,5.77924570875232,21,41.8641921422349,13.14876280781,31.8075654020424,3.76776683800241,5.46016052734248,2.49677419354839,8.85161290322581,142.478129032258,13.6932580645161,31
1992-12-05,3.14329369433662,8.97380973475576,5.39212838236152,3.58203120652544,56,43.0279285173366,20.5781864148208,34.9177759523822,12.4405978331622,1.53094740430734,2.19354838709677,7.11290322580645,168.301258064516,9.52643548387097,42
1993-01-05,2.49937889085252,7.11221823866366,5.400000095,1.71171283991379,67.5,51.955616465543,28.6939423400432,40.4615448424226,19.219518012129,0.954567186480199,2.16129032258065,0.758064516129032,135.760387096774,7.30430322580645,78
1993-02-04,2.44824693570474,6.40182929423104,5.40290379360076,0.998768012162981,79,54.4722857235986,34.7616032875312,42.8179299485348,24.2472219906789,0.546568341498077,1.56333333333333,4.29,137.9489,5.97729,116
1993-03-07,2.83777064306176,6.06288480266467,5.41356968138892,0.649054306690215,103,54.0467029631006,41.4947190796217,46.8274037117062,31.911354583804,0.993479894984364,2.58387096774194,0.987096774193548,142.996709677419,5.53146451612903,147
1993-04-07,4.61561733380213,6.81684170373002,5.42927098310204,1.38528688258739,23.5,45.5587796884548,38.5689909022292,34.7260349326822,19.822042109621,6.26474854227405,2.44838709677419,6.63225806451613,121.607935483871,6.06151290322581,112.1778755
1993-05-08,3.20041206325732,13.4234529378262,5.4422303755809,7.97531877700528,10,42.4707195213167,23.5488897269278,38.3298160894534,10.3049743065361,9.84211575255102,2.01612903225806,12.1709677419355,139.203838709677,9.72732580645161,13
1993-06-07,3.47901028675572,19.38200035,5.420000076,13.96200027,10,39.89814699,20.20784298,33.94763284,11.36677453,4.965,1.59,15.8066666666667,233.5961,15.0686333333333,13
1993-07-08,3.39137761614504,22.6894811573469,5.43055377654519,17.2584900521574,18,41.529547946414,17.5189798898251,34.8756127309126,4.88922571562391,7.13327259475219,2.05806451612903,18.4225806451613,321.821612903226,20.2460322580645,13
1993-08-08,2.81859988030451,21.7566588706414,5.440000057,16.3162214806122,17.5,43.2563989076676,13.3047643681633,37.2060686889011,5.18059135923907,1.91720481049563,2.09677419354839,19.4,274.702483870968,19.9614516129032,13
1993-09-08,3.45386141370926,17.1841792434672,5.43044999703879,11.7512318844258,16,40.9540894044925,13.1787131121556,35.1428988753937,5.65289939829496,3.28418703703704,2.0258064516129,18,251.597096774194,20.4984516129032,17
1993-10-08,2.58935836664613,14.1705172434172,5.44044414485667,8.72933958654693,19.5,43.056148769701,13.2699383002927,37.8625518117292,5.84296990419585,6.98474606336642,1.54666666666667,12.9666666666667,231.8428,16.0751333333333,22
1993-11-08,2.47869786866751,9.573999786,5.460000038,4.113999748,10,47.92128394,25.23593677,43.13957343,19.97043243,8.04375,1.79354838709677,8.62258064516129,159.849,12.2307419354839,31
1993-12-09,3.23678028461372,7.75419581222482,5.45381029283605,2.30038551890057,66.5,44.5253073716615,23.7738102936241,40.5873144776439,19.1215004548696,1.3904899345522,2.41290322580645,2.85806451612903,140.942967741935,8.49410322580645,51
